,chpca_link,name,website,phone,address,bed
17,https://www.chpca.ca/listing/interlake-eastern-regional-health-authority/,Interlake-Eastern Regional Health Authority,http://www.ierha.ca,1-204-785-4700,"233A Main Street
Selkirk, Manitoba. R1A 1S1",0
18,https://www.chpca.ca/listing/heritage-lodge-long-term-care-home/,Heritage Lodge Long Term Care Home,http://www.reveralivaing.com,(204) 888-7940 Ext. 227,"3555 Portage Avenue
Winnipeg, Manitoba. R3K 0X2",1
19,https://www.chpca.ca/listing/grace-hospice/,Grace Hospice,no website,204-237-2400,"260 Booth Drive
Winnipeg, Manitoba. R3J 3R5",12
20,https://www.chpca.ca/listing/churchill-health-centre-division-of-wrha/,Churchill Health Centre (Division of WRHA),http://www.churchillhealthcentre.com,(204) 675-8881,"162 La Vérendrye Ave
Churchill, Manitoba. R0B 0E0",21
21,https://www.chpca.ca/listing/canadian-virtual-hospice/,Canadian Virtual Hospice,http://www.virtualhospice.ca,1-866-288-4803,"Room PE469, One Morley Avenue
Winnipeg, Canada-wide. R3L 2P4",0
22,https://www.chpca.ca/listing/canadian-cancer-societys-cancer-information-service/,Canadian Cancer Society's Cancer Information Service,http://www.cancer.ca,(888) 939-3333,"Ottawa, Canada-wide",0
23,https://www.chpca.ca/listing/canadian-cancer-society-manitoba/,Canadian Cancer Society - Manitoba,http://www.cancer.ca/en/?region=mb,(204) 774-7483,"193 Sherbrook Street
Winnipeg, Manitoba. R3C 2B7",0
24,https://www.chpca.ca/listing/brummit-feasby-als-house/,Brummit Feasby ALS House,https://alsmb.ca/brummit-feasby-als-house/,204.888.7319,"106 Kirby Drive
Winnipeg, Manitoba",4
25,https://www.chpca.ca/listing/brandon-regional-health-authority-palliative-care-service/,Brandon Regional Health Centre Palliative Care Unit,http://www.brandonrha.mb.ca,(204) 578-4000,"150 McTavish Ave. East
Brandon, Manitoba. R7A 2B3",12
26,https://www.chpca.ca/listing/boundary-trails-palliative-care-program/,Boundary Trails Palliative Care Program,http://www.bthcfoundation.com,(204) 331-8808,"Box 2000, Station Main
Winkler, Manitoba. R6W 1H8",9
27,https://www.chpca.ca/listing/altona-and-district-palliative-care/,Altona and District Palliative Care,no website,204-324-2358,"Box 670
Altona, Manitoba. R0G 0B0",0
