,chpca_link,name,website,phone,address,bed
50,https://www.chpca.ca/listing/carewest-sarcee-hospice/,Carewest Sarcee Hospice,http://carewest.ca/carewest-sarcee/,403-686-8100,"3504 Sarcee Road S.W.
Calgary, Alberta. T3E 4T4",15
51,https://www.chpca.ca/listing/carewest-colonel-belcher-care-centre/,Carewest Colonel Belcher Care Centre,https://carewest.ca/carewest-colonel-belcher/,(403) 944-7800,"1939 Veterans Way N.W.
Calgary, Alberta. T3B 5Y8",1
52,https://www.chpca.ca/listing/capitalcare-norwood/,CapitalCare Norwood,https://www.capitalcare.net/Page150.aspx,780.496.1300,"10410 – 111 Ave
Edmonton, Alberta",23
53,https://www.chpca.ca/listing/canary-music-therapy/,Canary Music Therapy,http://www.canarymusictherapy.com,(403) 816-3223,"Calgary, Alberta",0
54,https://www.chpca.ca/listing/canadian-cancer-societys-cancer-information-service/,Canadian Cancer Society's Cancer Information Service,http://www.cancer.ca,(888) 939-3333,"Ottawa, Canada-wide",0
55,https://www.chpca.ca/listing/calgarys-allied-mobile-palliative-program-cups/,Calgary's Allied Mobile Palliative Program (CAAMP),https://www.cupscalgary.com/programs-services/health/outreachprograms,403-472-4479,"1001 10 Avenue SW
Calgary, Alberta. T2R 0B7",0
56,https://www.chpca.ca/listing/beswick-house-sharp-foundation/,Beswick House (SHARP Foundation),https://www.thesharpfoundation.com/,403.272.2912,"Calgary, Alberta. T2H 0A1",10
57,https://www.chpca.ca/listing/bayshore-home-care-solutions-edmonton/,Bayshore Home Care Solutions - Edmonton,https://www.bayshore.ca/locations/bayshore-home-care-solutions-edmonton-ab/,(780) 436-8484,"8657 51st Avenue, Unit 304
Edmonton, Alberta. T6E 6A8",0
58,https://www.chpca.ca/listing/alberta-hospice-palliative-care-association/,Alberta Hospice Palliative Care Association,http://www.ahpca.ca,(403) 206-9938,"#110, 105 12 Ave SE
Calgary, Alberta. T2G 1A1",0
59,https://www.chpca.ca/listing/agecare-skypointe-hospice-care/,AgeCare SkyPointe Hospice Care,https://www.agecare.ca/community/agecare-skypointe/hospice-care/,587 619 1900,"179 Skyview Circle NE
Calgary, Alberta",10
