,link,name,city,address 1,address 2,phone 1,phone 2
16,https://www.google.com/search?q=Carberry+Personal+Care+Home+Carberry,Carberry Personal Care Home,Carberry,No Address 1,"340 Toronto St, Carberry, MB R0K 0H0",No Phone 1,No Phone 2
17,https://www.google.com/search?q=Charleswood+Care+Centre+Winnipeg,Charleswood Care Centre,Winnipeg,"5501 Roblin Blvd, Winnipeg, MB R3R 0G8",No Address 2,No Phone 1,(204) 888-3363
18,https://www.google.com/search?q=Concordia+Place+Winnipeg,Concordia Place,Winnipeg,"1000 Molson St, Winnipeg, MB R2K 4L5",No Address 2,(204) 661-7372,No Phone 2
19,https://www.google.com/search?q=Crocus+Court+Personal+Care+Home+Roblin,Crocus Court Personal Care Home,Roblin,No Address 1,"15 Hospital St, Roblin, MB R0L 1P0",No Phone 1,(204) 937-2149
20,https://www.google.com/search?q=Dakota+Oyate+Lodge+Griswold,Dakota Oyate Lodge,Griswold,"Sifton, MB R0M 0S0",No Address 2,No Phone 1,(204) 855-2354
21,https://www.google.com/search?q=Dauphin+Personal+Care+Home+Dauphin,Dauphin Personal Care Home,Dauphin,No Address 1,"625 3 St SW, Dauphin, MB R7N 1R7",No Phone 1,No Phone 2
22,https://www.google.com/search?q=Deer+Lodge+Centre+Winnipeg,Deer Lodge Centre,Winnipeg,No Address 1,No Address 2,No Phone 1,No Phone 2
23,https://www.google.com/search?q=Delwynda+Court+Deloraine,Delwynda Court,Deloraine,"109 Kellett St, Deloraine, MB R0M 0M0",No Address 2,No Phone 1,(204) 747-2243
24,https://www.google.com/search?q=Dinsdale+Personal+Care+Home+Brandon,Dinsdale Personal Care Home,Brandon,"510 6th St, Brandon, MB R7A 3N9",No Address 2,No Phone 1,(204) 727-3636
25,https://www.google.com/search?q=Donwood+Manor+Winnipeg,Donwood Manor,Winnipeg,No Address 1,"171 Donwood Dr, Winnipeg, MB R2G 0V9",No Phone 1,No Phone 2
26,https://www.google.com/search?q=Douglas+Campbell+Lodge+Portage+la+Prairie,Douglas Campbell Lodge,Portage la Prairie,"150 9 St SE, Portage la Prairie, MB R1N 3T6",No Address 2,(204) 239-6006,No Phone 2
27,https://www.google.com/search?q=Dr+Gendreau+Personal+Care+Home+Ste.+Rose+du+Lac,Dr Gendreau Personal Care Home,Ste. Rose du Lac,No Address 1,"515 Mission St, Sainte Rose du Lac, MB R0L 1S0",No Phone 1,(204) 447-2019
28,https://www.google.com/search?q=East+Gate+Lodge+Personal+Care+Home+Beausejour,East Gate Lodge Personal Care Home,Beausejour,No Address 1,"646 James Ave, Beausejour, MB R0E 0C0",No Phone 1,(204) 268-1029
29,https://www.google.com/search?q=Eastview+Place+Memorial+Health+Centre+Altona,Eastview Place Memorial Health Centre,Altona,"240 5 Ave NE, Altona, MB R0G 0B0",No Address 2,No Phone 1,(204) 324-6411
30,https://www.google.com/search?q=Elkhorn+PCH/Elkwood+Manor+Elkhorn,Elkhorn PCH/Elkwood Manor,Elkhorn,"Antrim St, Elkhorn, MB R0M 0N0",No Address 2,(204) 845-2575,No Phone 2
31,https://www.google.com/search?q=Emerson+Health+Centre+Personal+Care+Home+Emerson,Emerson Health Centre Personal Care Home,Emerson,"26 Main St, Emerson, MB R0A 0L0",No Address 2,(204) 373-2109,No Phone 2
32,https://www.google.com/search?q=Erickson+Personal+Care+Home+Erickson,Erickson Personal Care Home,Erickson,No Address 1,"60 Queen Elizabeth Ave, Erickson, MB R0J 0P0",No Phone 1,(204) 636-7777
33,https://www.google.com/search?q=Eriksdale+Personal+Care+Home+Eriksdale,Eriksdale Personal Care Home,Eriksdale,"Eriksdale, MB R0C 0W0",No Address 2,(204) 739-4416,No Phone 2
34,https://www.google.com/search?q=Fairview+Personal+Care+Home+Brandon,Fairview Personal Care Home,Brandon,"1351 13 St, Brandon, MB R7A 4S6",No Address 2,No Phone 1,(204) 578-2600
35,https://www.google.com/search?q=Fisher+Personal+Care+Home+Fisher+Branch,Fisher Personal Care Home,Fisher Branch,No Address 1,"7 Chalet Dr, Fisher Branch, MB R0C 0Z0",No Phone 1,(204) 372-8703
36,https://www.google.com/search?q=Flin+Flon+Personal+Care+Home+Flin+Flon,Flin Flon Personal Care Home,Flin Flon,No Address 1,"50 Church St, Flin Flon, MB R8A 1K7",No Phone 1,(204) 687-9630
37,https://www.google.com/search?q=Foyer+Notre+Dame+Notre+Dame+de+Lourdes,Foyer Notre Dame,Notre Dame de Lourdes,No Address 1,"40 Rue Rogers, Notre Dame de Lourdes, MB R0G 1M0",No Phone 1,(204) 248-2092
38,https://www.google.com/search?q=Foyer+Valade+(Actionmarguerite)+Winnipeg,Foyer Valade (Actionmarguerite),Winnipeg,"450 River Rd, Winnipeg, MB R2M 5M4",No Address 2,(204) 254-3332,No Phone 2
39,https://www.google.com/search?q=Fred+Douglas+Lodge+Personal+Care+Home+Winnipeg,Fred Douglas Lodge Personal Care Home,Winnipeg,No Address 1,"1275 Burrows Ave, Winnipeg, MB R2X 0B8",No Phone 1,No Phone 2
40,https://www.google.com/search?q=George+Colon+Memorial+Home+PCH+Oxford+House,George Colon Memorial Home PCH,Oxford House,"Oxford House, MB R0B 1C0",No Address 2,(204) 538-2560,No Phone 2
41,https://www.google.com/search?q=George+M+Guimond+Care+Centre+Fort+Alexander,George M Guimond Care Centre,Fort Alexander,"50229 MB-11, Fort Alexander, MB R0E 0P0",No Address 2,No Phone 1,(204) 367-2245
42,https://www.google.com/search?q=Gilbert+PLains+Health+Centre+Gilbert+Plains,Gilbert PLains Health Centre,Gilbert Plains,"100 Cutforth St N, Gilbert Plains, MB R0L 0X0",No Address 2,(204) 548-2161,No Phone 2
43,https://www.google.com/search?q=Gillam+Hospital+Gillam,Gillam Hospital,Gillam,"15 Gillam Dr, Gillam, MB R0B 0L0",No Address 2,No Phone 1,(204) 652-2600
44,https://www.google.com/search?q=Glenboro+Personal+Care+Home+Glenboro,Glenboro Personal Care Home,Glenboro,"219 Murray Ave, Glenboro, MB R0K 0X0",No Address 2,No Phone 1,No Phone 2
45,https://www.google.com/search?q=Golden+Door+Geriatric+Centre+Winnipeg,Golden Door Geriatric Centre,Winnipeg,"1679 Pembina Hwy, Winnipeg, MB R3T 2G6",No Address 2,(204) 269-6308,No Phone 2
46,https://www.google.com/search?q=Golden+Links+Lodge+Winnipeg,Golden Links Lodge,Winnipeg,No Address 1,"2280 St Mary's Rd, Winnipeg, MB R2N 3Z6",No Phone 1,(204) 257-9947
47,https://www.google.com/search?q=Golden+West+Centennial+Lodge+Winnipeg,Golden West Centennial Lodge,Winnipeg,No Address 1,"811 School Rd, Winnipeg, MB R2Y 0S8",No Phone 1,No Phone 2
48,https://www.google.com/search?q=Goodwin+Lodge+Personal+Care+Home+Teulon,Goodwin Lodge Personal Care Home,Teulon,No Address 1,"162 3 Ave SE, Teulon, MB R0C 3B0",No Phone 1,(204) 886-2108
49,https://www.google.com/search?q=Grandview+Personal+Care+Home+Grandview,Grandview Personal Care Home,Grandview,"644 Mill St, Grandview, MB R0L 0Y0",No Address 2,No Phone 1,(204) 546-2425
50,https://www.google.com/search?q=Hamiota+Personal+Care+Home+Hamiota,Hamiota Personal Care Home,Hamiota,"177 Birch Ave, Hamiota, MB R0M 0T0",No Address 2,(204) 764-2412,No Phone 2
51,https://www.google.com/search?q=Hartney+Personal+Care+home+Hartney,Hartney Personal Care home,Hartney,"617 River Ave, Hartney, MB R0M 0X0",No Address 2,(204) 858-2054,No Phone 2
52,https://www.google.com/search?q=Heritage+Lodge+Long+Term+Care+Home+Winnipeg,Heritage Lodge Long Term Care Home,Winnipeg,"3555 Portage Ave, Winnipeg, MB R3K 0X2",No Address 2,No Phone 1,(204) 888-7940
53,https://www.google.com/search?q=Hillcrest+Place+Brandon,Hillcrest Place,Brandon,No Address 1,"930 26th St, Brandon, MB R7B 2B8",No Phone 1,No Phone 2
54,https://www.google.com/search?q=Holy+Family+Nursing+Home+Winnipeg,Holy Family Nursing Home,Winnipeg,No Address 1,"165 Aberdeen Avenue, Winnipeg, MB R2W 1T9",No Phone 1,No Phone 2
55,https://www.google.com/search?q=Kildonan+Personal+City+Centre+Winnipeg,Kildonan Personal City Centre,Winnipeg,"1970 Henderson Hwy, Winnipeg, MB R2G 1P2",No Address 2,No Phone 1,(204) 334-4633
56,https://www.google.com/search?q=Kin+Place+Personal+Care+Home+Oakbank,Kin Place Personal Care Home,Oakbank,"680 Pine Dr, Oakbank, MB R0E 1J0",No Address 2,(204) 444-2004,No Phone 2
57,https://www.google.com/search?q=Lac+du+Bonnet+Personal+Care+Home+Lac+du+Bonnet,Lac du Bonnet Personal Care Home,Lac du Bonnet,No Address 1,"75 McIntosh St E, Lac du Bonnet, MB R0E 1A0",No Phone 1,(204) 345-1222
58,https://www.google.com/search?q=Lions+Personal+Care+Centre+Winnipeg,Lions Personal Care Centre,Winnipeg,"320 Sherbrook St, Winnipeg, MB R3B 2W6",No Address 2,No Phone 1,(204) 784-1240
59,https://www.google.com/search?q=Lions+Prairie+Manor+PCH+Portage+la+Prairie,Lions Prairie Manor PCH,Portage la Prairie,"24 9th St SE, Portage la Prairie, MB R1N 3V4",No Address 2,(204) 857-7864,No Phone 2
60,https://www.google.com/search?q=Lundar+Personal+Care+Home+Lundar,Lundar Personal Care Home,Lundar,No Address 1,"38 Main St, Lundar, MB R0C 1Y0",No Phone 1,(204) 762-5609
61,https://www.google.com/search?q=Luther+Home+Winnipeg,Luther Home,Winnipeg,"1081 Andrews St, Winnipeg, MB R2V 2G9",No Address 2,No Phone 1,(204) 338-4641
62,https://www.google.com/search?q=Lynn+Lake+Hospital+PCH+Lynn+Lake,Lynn Lake Hospital PCH,Lynn Lake,"640 Camp St, Lynn Lake, MB R0B 0W0",No Address 2,No Phone 1,(204) 356-2474
63,https://www.google.com/search?q=MacGregor+Personal+Care+Home+MacGregor,MacGregor Personal Care Home,MacGregor,"87 Grafton St, MacGregor, MB R0H 0R0",No Address 2,No Phone 1,(204) 685-2850
64,https://www.google.com/search?q=Maples+Long+Term+Care+Home+Winnipeg,Maples Long Term Care Home,Winnipeg,"500 Mandalay Dr, Winnipeg, MB R2P 1V4",No Address 2,No Phone 1,(204) 632-8570
65,https://www.google.com/search?q=McCreary+Alonsa+Personal+Care+Home+McCreary,McCreary Alonsa Personal Care Home,McCreary,No Address 1,"613 MB-50, McCreary, MB R0J 1B0",No Phone 1,(204) 835-2797
66,https://www.google.com/search?q=McGillivary+Care+Home+Opaskwayak,McGillivary Care Home,Opaskwayak,"56 Kiche Maskanow, Opaskwayak, MB R0B 2J0",No Address 2,(204) 623-5421,No Phone 2
67,https://www.google.com/search?q=Meadowood+Manor+Winnipeg,Meadowood Manor,Winnipeg,"577 St Anne's Rd, Winnipeg, MB R2M 3G5",No Address 2,No Phone 1,(204) 257-2394
68,https://www.google.com/search?q=Melita+Personal+Care+Home+Melita,Melita Personal Care Home,Melita,"147 Summit St, Melita, MB R0M 1L0",No Address 2,(204) 522-3975,No Phone 2
69,https://www.google.com/search?q=Menno+Home+Grunthal,Menno Home,Grunthal,"235 Park St, Grunthal, MB R0A 0R0",No Address 2,(204) 434-6496,No Phone 2
70,https://www.google.com/search?q=Middlechurch+Personal+Care+Home+Winnipeg,Middlechurch Personal Care Home,Winnipeg,No Address 1,"280 Balderstone Rd, West Saint Paul, MB R4A 4A6",No Phone 1,No Phone 2
71,https://www.google.com/search?q=Minnedosa+Personal+Care+Home+Minnedosa,Minnedosa Personal Care Home,Minnedosa,"138 3rd Ave SW, Minnedosa, MB R0J 1E0",No Address 2,(204) 867-2569,No Phone 2
72,https://www.google.com/search?q=Misericordia+Health+Centre+Winnipeg,Misericordia Health Centre,Winnipeg,No Address 1,No Address 2,No Phone 1,No Phone 2
73,https://www.google.com/search?q=Misericordia+Place+Winnipeg,Misericordia Place,Winnipeg,No Address 1,"44 Furby St, Winnipeg, MB R3C 2A1",No Phone 1,(204) 774-6581
74,https://www.google.com/search?q=Morley+House+PCH+-+Shoal+Lake+Shoal+Lake,Morley House PCH - Shoal Lake,Shoal Lake,No Address 1,No Address 2,No Phone 1,No Phone 2
75,https://www.google.com/search?q=Neepawa+PCH+Country+Meadows+Neepawa,Neepawa PCH Country Meadows,Neepawa,No Address 1,"500 Veterans Way, Neepawa, MB R0J 1H0",No Phone 1,(204) 476-2383
76,https://www.google.com/search?q=Nisichawayasihk+Nelson+House+PCH+Nelson+House,Nisichawayasihk Nelson House PCH,Nelson House,"Nelson House, MB R0B 1A0",No Address 2,No Phone 1,(204) 484-2350
77,https://www.google.com/search?q=Niverville+Heritage+Life+PCH+Niverville,Niverville Heritage Life PCH,Niverville,No Address 1,"100A Heritage Trail, Niverville, MB R0A 0A1",No Phone 1,(204) 388-2181
78,https://www.google.com/search?q=Northern+Lights+Manor+Flin+Flon,Northern Lights Manor,Flin Flon,No Address 1,"274 Bracken St, Flin Flon, MB R8A 1P4",No Phone 1,(204) 687-7325
79,https://www.google.com/search?q=Northern+Spirit+Manor+Thompson,Northern Spirit Manor,Thompson,No Address 1,"879 Thompson Dr, Thompson, MB R8N 0A9",No Phone 1,(204) 778-3805
80,https://www.google.com/search?q=Oakview+Place+Winnipeg,Oakview Place,Winnipeg,"2395 Ness Ave, Winnipeg, MB R3J 1A5",No Address 2,No Phone 1,(204) 888-3005
81,https://www.google.com/search?q=Ochekwi+Sipi+Cree+Nation+PCH+(Fisher+River)+Koostatak,Ochekwi Sipi Cree Nation PCH (Fisher River),Koostatak,No Address 1,Manitoba R0C 0S0,No Phone 1,(204) 645-2811
82,https://www.google.com/search?q=Park+Manor+Personal+Care+Home+Winnipeg,Park Manor Personal Care Home,Winnipeg,No Address 1,"301 Redonda St, Winnipeg, MB R2C 1L7",No Phone 1,No Phone 2
83,https://www.google.com/search?q=Parkview+Place+Long+Term+Care+Home+Winnipeg,Parkview Place Long Term Care Home,Winnipeg,"440 Edmonton St, Winnipeg, MB R3B 2M4",No Address 2,(204) 942-5291,No Phone 2
84,https://www.google.com/search?q=Pembina+Manitou+Health+Centre+-+PCH+Manitou,Pembina Manitou Health Centre - PCH,Manitou,"232 Carrie St, Manitou, MB R0G 1G0",No Address 2,(204) 242-2744,No Phone 2
85,https://www.google.com/search?q=Pembina+Place+Mennonite+PCH+Winnipeg,Pembina Place Mennonite PCH,Winnipeg,"285 Pembina Hwy, Winnipeg, MB R3L 2E1",No Address 2,(204) 284-0802,No Phone 2
86,https://www.google.com/search?q=Pinaow+Wachi+Inc.+Norway+House,Pinaow Wachi Inc.,Norway House,"Norway House, MB R0B 1B0",No Address 2,No Phone 1,(204) 359-6949
87,https://www.google.com/search?q=Poseidon+Long+Term+Care+Winnipeg,Poseidon Long Term Care,Winnipeg,"70 Poseidon Bay, Winnipeg, MB R3M 3E5",No Address 2,No Phone 1,(204) 452-6204
88,https://www.google.com/search?q=Prairie+View+Lodge+Pilot+Mound,Prairie View Lodge,Pilot Mound,"424 Broadway Ave, Pilot Mound, MB R0G 1P0",No Address 2,(204) 825-2717,No Phone 2
89,https://www.google.com/search?q=Red+River+Place+Selkirk,Red River Place,Selkirk,No Address 1,"133 Manchester Ave, Selkirk, MB R1A 0B5",No Phone 1,No Phone 2
90,https://www.google.com/search?q=Red+River+Valley+Lodge+Morris,Red River Valley Lodge,Morris,"136 Ottawa Ave, Morris, MB R0G 1K0",No Address 2,No Phone 1,(204) 746-2394
91,https://www.google.com/search?q=Repos+Jolys+St.+Pierre+Jolys,Repos Jolys,St. Pierre Jolys,"354 Av. Prefontaine, St Pierre-Jolys, MB R0A 1V0",No Address 2,(204) 433-7443,No Phone 2
92,https://www.google.com/search?q=Rest+Haven+Care+Home+Steinbach,Rest Haven Care Home,Steinbach,"185 Woodhaven Ave, Steinbach, MB R5G 1K7",No Address 2,No Phone 1,(204) 326-2206
93,https://www.google.com/search?q=Reston+Willowview+Personal+Care+Centre+Reston,Reston Willowview Personal Care Centre,Reston,"523 1st St W, Reston, MB R0M 1X0",No Address 2,(204) 877-3925,No Phone 2
94,https://www.google.com/search?q=Rideau+Park+Personal+Care+Home+Brandon,Rideau Park Personal Care Home,Brandon,No Address 1,"525 Victoria Ave E, Brandon, MB R7A 6S9",No Phone 1,(204) 578-2670
95,https://www.google.com/search?q=River+East+Personal+Care+Home+Winnipeg,River East Personal Care Home,Winnipeg,"1375 Molson St, Winnipeg, MB R2K 4K8",No Address 2,(204) 668-7460,No Phone 2
96,https://www.google.com/search?q=River+Park+Gardens+Winnipeg,River Park Gardens,Winnipeg,No Address 1,"735 St Anne's Rd, Winnipeg, MB R2N 0C4",No Phone 1,(204) 255-9073
97,https://www.google.com/search?q=Riverdale+Personal+Care+Home +Rivers,Riverdale Personal Care Home ,Rivers,"512 Quebec St, Rivers, MB R0K 1X0",No Address 2,(204) 328-5321,No Phone 2
98,https://www.google.com/search?q=Riverview+Health+Centre+Winnipeg,Riverview Health Centre,Winnipeg,No Address 1,"One Morley Avenue, Winnipeg, MB R3L 2P4",No Phone 1,No Phone 2
99,https://www.google.com/search?q=Rock+Lake+Personal+Care+Home+Pilot+Mound,Rock Lake Personal Care Home,Pilot Mound,"115 Brown St, Pilot Mound, MB R0G 1P0",No Address 2,(204) 825-2246,No Phone 2
100,https://www.google.com/search?q=Rosewood+Lodge+Personal+Care+Home+Stonewall,Rosewood Lodge Personal Care Home,Stonewall,No Address 1,"513 1 Ave N, Stonewall, MB R0C 2Z0",No Phone 1,(204) 467-5257
101,https://www.google.com/search?q=Rossburn+Personal+Care+Home+Rossburn,Rossburn Personal Care Home,Rossburn,No Address 1,"166 Parkview Dr, Rossburn, MB R0J 1V0",No Phone 1,(204) 859-2413
102,https://www.google.com/search?q=Russell+Personal+Care+Home+Russell,Russell Personal Care Home,Russell,"113 Arsini St E, Russell, MB R0J 1W0",No Address 2,(204) 773-3117,No Phone 2
103,https://www.google.com/search?q=Salem+House+Inc+Winkler,Salem House Inc,Winkler,No Address 1,"165 15th St, Winkler, MB R6W 1T8",No Phone 1,No Phone 2
104,https://www.google.com/search?q=Sandy+Lake+Personal+Care+Home+Sandy+Lake,Sandy Lake Personal Care Home,Sandy Lake,"106 1st St SW, Sandy Lake, MB R0J 1X0",No Address 2,(204) 585-2107,No Phone 2
105,https://www.google.com/search?q=Sherwood+Nursing+Home+Virden,Sherwood Nursing Home,Virden,"223 Hargrave St, Virden, MB R0M 2C0",No Address 2,(204) 748-1546,No Phone 2
106,https://www.google.com/search?q=Snow+Lake+Health+Center+Snow+Lake,Snow Lake Health Center,Snow Lake,"100 Lakeshore Dr, Snow Lake, MB R0B 1M0",No Address 2,(204) 358-2300,No Phone 2
107,https://www.google.com/search?q=Souris+Health+Centre+-+PCH+Souris,Souris Health Centre - PCH,Souris,"155 Brindle Ave, Souris, MB R0K 2C0",No Address 2,No Phone 1,(204) 483-2121
108,https://www.google.com/search?q=Southeast+Personal+Care+Home+Winnipeg,Southeast Personal Care Home,Winnipeg,"1265 Lee Blvd, Winnipeg, MB R3T 2M3",No Address 2,(204) 269-7111,No Phone 2
109,https://www.google.com/search?q=St.+Claude+Health+Centre+St.+Claude,St. Claude Health Centre,St. Claude,"33 Roy St, Saint Claude, MB R0G 1Z0",No Address 2,No Phone 1,(204) 379-2211
110,https://www.google.com/search?q=St+Joseph's+Residence+(Actionmarguerite)+Winnipeg,St Joseph's Residence (Actionmarguerite),Winnipeg,"St.Joseph's 1149 Residence, 1149 Leila Ave, Winnipeg, MB R2P 1S6",No Address 2,(204) 697-8031,No Phone 2
111,https://www.google.com/search?q=St+Nobert+Personal+Care+home+Winnipeg,St Nobert Personal Care home,Winnipeg,"50 Rue St Pierre Street, Winnipeg, MB R3V 1G5",No Address 2,No Phone 1,(204) 269-4538
112,https://www.google.com/search?q=St+Paul's+Home+Dauphin,St Paul's Home,Dauphin,"703 Jackson St, Dauphin, MB R7N 2N2",No Address 2,(204) 638-3129,No Phone 2
113,https://www.google.com/search?q=St+Paul's+Personal+Care+home+The+Pas,St Paul's Personal Care home,The Pas,No Address 1,"34 2 St W, The Pas, MB R9A 1K4",No Phone 1,No Phone 2
114,https://www.google.com/search?q=Sunnywood+Manor+Personal+Care+Home +Pine+Falls,Sunnywood Manor Personal Care Home ,Pine Falls,No Address 1,"4 Spruce St, Pine Falls, MB R0E 1M0",No Phone 1,(204) 367-8201
115,https://www.google.com/search?q=Swan+River+Valley+Personal+Care+Home+Swan+River,Swan River Valley Personal Care Home,Swan River,"334 8 Ave S, Swan River, MB R0L 1Z0",No Address 2,(204) 734-4521,No Phone 2
116,https://www.google.com/search?q=Swan+Valley+Lodge+Personal+Care+Home+Swan+River,Swan Valley Lodge Personal Care Home,Swan River,No Address 1,"1013 Main St E, Swan River, MB R0L 1Z0",No Phone 1,(204) 734-3441
117,https://www.google.com/search?q=Tabor+Home+Inc+Morden,Tabor Home Inc,Morden,"450 Loren Dr, Morden, MB R6M 0E3",No Address 2,(204) 822-4848,No Phone 2
118,https://www.google.com/search?q=The+Convalescent+Home+of+Winnipeg+Winnipeg,The Convalescent Home of Winnipeg,Winnipeg,"276 Hugo St N, Winnipeg, MB R3M 2N6",No Address 2,No Phone 1,(204) 453-4663
119,https://www.google.com/search?q=The+Saul+and+Glaribel+Simkin+Centre+Winnipeg,The Saul and Glaribel Simkin Centre,Winnipeg,"1 Falcon Ridge Dr, Winnipeg, MB R3Y 1V9",No Address 2,No Phone 1,(204) 586-9781
120,https://www.google.com/search?q=Third+Crossing+Manor+Gladstone,Third Crossing Manor,Gladstone,No Address 1,"175 Dennis St, Gladstone, MB R0J 0T0",No Phone 1,(204) 385-2474
121,https://www.google.com/search?q=Tiger+Hills+Health+Centre+PCH+Treherne,Tiger Hills Health Centre PCH,Treherne,No Address 1,"64 Clark St, Treherne, MB R0G 2V0",No Phone 1,No Phone 2
122,https://www.google.com/search?q=Tri+Lake+Personal+Care+Home+Killarney,Tri Lake Personal Care Home,Killarney,No Address 1,"86 Ellis Dr, Killarney, MB R0K 1G0",No Phone 1,No Phone 2
123,https://www.google.com/search?q=Tudor+House+Personal+Care+Home+Selkirk,Tudor House Personal Care Home,Selkirk,No Address 1,"800 Manitoba Ave, Selkirk, MB R1A 2C9",No Phone 1,(204) 482-6601
124,https://www.google.com/search?q=Tuxedo+Villa+Winnipeg,Tuxedo Villa,Winnipeg,No Address 1,"2060 Corydon Ave, Winnipeg, MB R3P 0N3",No Phone 1,(204) 889-2650
125,https://www.google.com/search?q=Valleyview+Care+Centre+Brandon,Valleyview Care Centre,Brandon,"3015 Victoria Ave, Brandon, MB R7B 2K2",No Address 2,No Phone 1,(204) 728-2030
126,https://www.google.com/search?q=Villa+Youville+Ste.+Anne,Villa Youville,Ste. Anne,"15 Charrière Rd, Ste Anne, MB R5H 1C9",No Address 2,No Phone 1,(204) 422-5624
127,https://www.google.com/search?q=Vista+Park+Lodge+Winnipeg,Vista Park Lodge,Winnipeg,No Address 1,"144 Novavista Dr, Winnipeg, MB R2N 1P8",No Phone 1,No Phone 2
128,https://www.google.com/search?q=Vita+Personal+Care+Home+Vita,Vita Personal Care Home,Vita,No Address 1,No Address 2,No Phone 1,No Phone 2
129,https://www.google.com/search?q=Wawanesa+Personal+Care+Home+Wawanesa,Wawanesa Personal Care Home,Wawanesa,"1985 W Broadway, Vancouver, BC V6J 1Y5",No Address 2,No Phone 1,(604) 739-5440
130,https://www.google.com/search?q=West+Park+Manor+Winnipeg,West Park Manor,Winnipeg,"3199 Grant Ave, Winnipeg, MB R3R 1X2",No Address 2,(204) 889-3330,No Phone 2
131,https://www.google.com/search?q=Westman+Nursing+Home+Virden,Westman Nursing Home,Virden,"427 Frame St E, Virden, MB R0M 2C0",No Address 2,(204) 748-4335,No Phone 2
132,https://www.google.com/search?q=Westview+Lodge+Boissevain,Westview Lodge,Boissevain,"200 Struthers St, Boissevain, MB R0K 0E0",No Address 2,(204) 534-2455,No Phone 2
133,https://www.google.com/search?q=Whitemouth+District+Health+Centre+&+PCH+Whitemouth,Whitemouth District Health Centre & PCH,Whitemouth,No Address 1,"Henderson Ave, Whitemouth, MB R0E 2G0",No Phone 1,(204) 348-2291
134,https://www.google.com/search?q=Winnipegosis+&+District+PCH+Winnipeosis,Winnipegosis & District PCH,Winnipeosis,No Address 1,No Address 2,No Phone 1,No Phone 2
135,https://www.google.com/search?q=Abbeyfield+House+Dominion+City+Dominion+City,Abbeyfield House Dominion City,Dominion City,"Franklin Ave, Dominion City, MB R0A 0H0",No Address 2,No Phone 1,No Phone 2
