,link,operator,name,bed,address_1,address_2,full_address,phone,city,facilityNumber,info
33,http://personalcarehomes.saskatchewan.ca/Facility/Details/4ca40fdc-99dd-4a64-9587-5539b4b6287e,Anu-Oluwa PO Care Home Inc.,Bethel Manor,20,5161 Sherwood Dr,Regina SK S4R 4C1,5161 Sherwood Dr Regina SK S4R 4C1,(306) 546-3626,Regina,8365,"Initial Licence Date: 2009-10-01,Approx. Start Rate per Month: $4000 and up,Door on northwest corner between bedrooms #11 & #12 is to be used as emergency exit only and posted accordingly,Single rooms,Double rooms"
34,http://personalcarehomes.saskatchewan.ca/Facility/Details/1561c839-958d-415b-a2b0-a18663b25d83,Bethesda Care Home Ltd,Bethesda Care Home,10,1007 Woodman Crescent,Prince Albert SK S6V 6L5,1007 Woodman Crescent Prince Albert SK S6V 6L5,(306) 960-2755,Prince Albert,9140,"Initial Licence Date: 2022-01-26,Can only admit and care for residents,on the upper level,who can climb and descend stairs independently,Single rooms,double room"
35,http://personalcarehomes.saskatchewan.ca/Facility/Details/dd5a508d-ef69-464b-8924-da2061cc7333,Betty Sandulak & Lynne Alison,Betty Sandulak and Lynne Alison,10,122 Adilman Dr,Saskatoon SK S7K 7S5,122 Adilman Dr Saskatoon SK S7K 7S5,(306) 221-9168,Saskatoon,2089,"Initial Licence Date: 1991-10-01,Approx. Start Rate per Month: $2200 to $2799,Residents on Lower Level must be able to climb and descend stairs independently,Single rooms,Double rooms"
36,http://personalcarehomes.saskatchewan.ca/Facility/Details/5d5fafc2-87e4-43ef-9a16-ade098bb457c,Beverly Johnson,Beverly Johnson,9,210 Dixon Ave,Kinistino SK S0J 1H0,210 Dixon Ave Kinistino SK S0J 1H0,(306) 864-2257,Kinistino,6556,"Initial Licence Date: 1998-10-01,Approx. Start Rate per Month: $1800 to $2199,Cannot admit or care for residents who are at risk of wandering,Single rooms,Double rooms"
37,http://personalcarehomes.saskatchewan.ca/Facility/Details/4b40b1bb-7a64-42c3-9823-4393442aed25,Annette Hewitt,Beverly Manor,3,784 4 St E,Shaunavon SK S0N 2M0,784 4 St E Shaunavon SK S0N 2M0,(306) 297-3512,Shaunavon,3514,"Initial Licence Date: 1993-10-25,Approx. Start Rate per Month: $1500 to $1799,Single rooms,Double rooms"
38,http://personalcarehomes.saskatchewan.ca/Facility/Details/54f754f1-1b12-4da7-aca7-45912c67c0c5,Michael & Nelie Antiola,Blest Care Home,5,507 Pichler Way,Saskatoon SK S7V 0H2,507 Pichler Way Saskatoon SK S7V 0H2,(306) 491-3960,Saskatoon,9110,"Initial Licence Date: 2019-10-17,Approx Start Rate per Month: $1800 to $2199,Single Rooms,Can only admit and care for residents capable of climbing and descending stairs independently"
39,http://personalcarehomes.saskatchewan.ca/Facility/Details/23312dc3-24a9-40ca-8bd7-12a65752cb1d,Borden Care Home Inc.,Borden Care Home Inc.,20,301 2nd Ave,Borden SK S0K 0N0,301 2nd Ave Borden SK S0K 0N0,(306) 997-2266,Borden,7591,"Initial Licence Date: 2001-05-01,Approx. Start Rate per Month: $2200 to $2799,Single rooms"
40,http://personalcarehomes.saskatchewan.ca/Facility/Details/84dcabd6-422b-40b3-b36b-1c739ff56881,Bow Valley Villa Corporation,Bow Valley Villa Corporation,22,319 Wylie Ave,Oxbow SK S0C 2B0,319 Wylie Ave Oxbow SK S0C 2B0,(306) 483-2283 OR 483-2744,Oxbow,3913,"Initial Licence Date: 1994-06-30,Approx. Start Rate per Month: $1800 to $2199,Single rooms,Double rooms"
41,http://personalcarehomes.saskatchewan.ca/Facility/Details/c5aae618-1db1-40fb-af2c-76d514aba352,101306454 Saskatchewan Ltd.,Brightwater Senior Living of Capital Crossing,136,1325 Argyle St N,Regina SK S4X 0R2,1325 Argyle St N Regina SK S4X 0R2,(306) 559-0160,Regina,9121,"Initial Licence Date: 2020-05-28,Approximate Starting Monthly Fee: $2800 - $3499"
42,http://personalcarehomes.saskatchewan.ca/Facility/Details/04f53bc2-76c1-4a9e-83d4-316d2cabe815,Mirinae Kim,Campbell Care Home,14,5800 4 Ave,Regina SK S4T 0K3,5800 4 Ave Regina SK S4T 0K3,(306) 541-8930,Regina,8377,"Initial Licence Date: 2010-07-20,Approx. Start Rate per Month: $2800 to $3499,Single rooms,Double rooms"
43,http://personalcarehomes.saskatchewan.ca/Facility/Details/5459d055-de1d-44c9-a55a-56823a8761db,Capilano Court Retirement Villa Ltd.,Capilano Court,39,1236 3 Ave NW,Moose Jaw SK S6H 3V3,1236 3 Ave NW Moose Jaw SK S6H 3V3,(306) 693-4518,Moose Jaw,108,"Initial Licence Date: 1991-10-01,Approx. Start Rate per Month: $1500 to $1799,Single rooms,Double rooms"
44,http://personalcarehomes.saskatchewan.ca/Facility/Details/13856d2f-8199-40e4-a918-48a97e018f72,Mirinae Kim,Casabella Care Home,8,5931 Hague Crescent,Regina SK S4X 3K6,5931 Hague Crescent Regina SK S4X 3K6,(306) 543-0816,Regina,8397,"Initial Licence Date: 2011-08-09,Approx. Start Rate per Month: $2800 to $3499,Single rooms"
45,http://personalcarehomes.saskatchewan.ca/Facility/Details/85c831a4-7498-4909-9945-d80d9fc9e607,Cayden's Premier Care Home Inc.,Cayden's Premier Care Home Inc.,15,236 Montreal Ave S,Saskatoon SK S7M 3K8,236 Montreal Ave S Saskatoon SK S7M 3K8,(306) 683-4600,Saskatoon,9049,"Initial Licence Date: 2017-04-18,Approx. Start Rate per Month: $1200 to $1499,Cannot admit or care for residents at risk of wandering to the lower level of the home."
46,http://personalcarehomes.saskatchewan.ca/Facility/Details/fcdd24e7-7a1e-4548-8c9a-c99db8c717d7,Cedar Gardens Personal Care Home Inc.,Cedar Gardens Personal Care Home Inc.,8,210 Rever Road,Saskatoon SK S7S 1G7,210 Rever Road Saskatoon SK S7S 1G7,(306) 290-4151,Saskatoon,6173,"Initial Licence Date: 1998-02-01,Approx. Start Rate per Month: $2200 to $2799,Must ensure a nurse (R.N. R.P.N. or L.P.N. is working a minimum of four hours in each home (i.e. minimum of 16 hours per week collectively) each week,Single rooms"
47,http://personalcarehomes.saskatchewan.ca/Facility/Details/8ea46eb4-a019-47c5-a56a-cc8952c7b618,Cedar Gardens Personal Care Home Inc.,Cedar Gardens Personal Care Home Inc.,10,218 Dunlop St,Saskatoon SK S7N 2B7,218 Dunlop St Saskatoon SK S7N 2B7,(306) 290-4151,Saskatoon,8331,"Initial Licence Date: 2008-06-13,Approx. Start Rate per Month: $2800 to $3499,Must ensure a nurse (R.N. R.P.N. or L.P.N. is working a minimum of four hours in each home (i.e. minimum of 16 hours per week collectively) each week,Single rooms"
48,http://personalcarehomes.saskatchewan.ca/Facility/Details/2d87c488-7751-4559-8e9d-ae88450619ab,Cedar Gardens Personal Care Home Inc.,Cedar Gardens Personal Care Home Inc.,10,102 Fairbrother Crescent,Saskatoon SK S7S 1G5,102 Fairbrother Crescent Saskatoon SK S7S 1G5,(306) 290-4151,Saskatoon,6866,"Initial Licence Date: 1999-10-01,Approx. Start Rate per Month: $2200 to $2799,Must ensure a nurse (R.N. R.P.N. or L.P.N. is working a minimum of four hours in each home (i.e. minimum of 16 hours per week collectively) each week,Single rooms"
49,http://personalcarehomes.saskatchewan.ca/Facility/Details/a0e28f5b-b071-4a19-83e3-99ce77d39534,Cedar Gardens Personal Care Home Inc.,Cedar Gardens Personal Care Home Inc.,10,603 Rutherford Way,Saskatoon SK S7N 4X8,603 Rutherford Way Saskatoon SK S7N 4X8,(306) 290-4151,Saskatoon,8023,"Initial Licence Date: 2004-11-10,Approx. Start Rate per Month: $2200 to $2799,Must ensure a nurse (RN,RPN or LPN is working a minimum of four hours in each home (i.e. minimum of 16 hours per week collectively) each week,Single rooms"
50,http://personalcarehomes.saskatchewan.ca/Facility/Details/65d2800d-7399-4fc9-a5c9-05f431f0ac7b,Central Pine Care Home Inc,Central Pine Care Home,20,640 Main St N,Ituna SK S0A 1N0,640 Main St N Ituna SK S0A 1N0,(306) 795-3446,Ituna,9154,"Initial Licence Date: 2022-06-30,Residents accommodated in the bedrooms on the second floor must be cognitively and physically capable of independently evacuating the building in the event of an emergency."
51,http://personalcarehomes.saskatchewan.ca/Facility/Details/49c2c64c-45e6-4d30-9ee3-760a1ca4154f,"LREIT Holdings, 32 Corporation",Chateau St. Michael's Ltd.,103,525 7th Ave SE,Moose Jaw SK S6H 8B6,525 7th Ave SE Moose Jaw SK S6H 8B6,(306) 693-2323,Moose Jaw,8330,"Initial Licence Date: 2008-06-01,Approx. Start Rate per Month: $2200 to $2799,Single rooms"
52,http://personalcarehomes.saskatchewan.ca/Facility/Details/70c40d31-f730-4687-84f1-7246f45b7623,Monalei Holdings Ltd.,Cherished Hearts Personal Care Home,10,222 Litzenberger Crescent,Regina SK S4R 7A3,222 Litzenberger Crescent Regina SK S4R 7A3,(306) 949-0777,Regina,8203,"Initial Licence Date: 2006-07-01,Approx. Start Rate per Month: $4000 and up,Single rooms,Double rooms"
53,http://personalcarehomes.saskatchewan.ca/Facility/Details/a6e2ac01-77dc-444e-8b0c-4ee84815caf8,Ability Society of Alberta,Chez Nous Senior Citizens Home,60,1101 Grafton Ave,Moose Jaw SK S6H 3S4,1101 Grafton Ave Moose Jaw SK S6H 3S4,(306) 693-4371,Moose Jaw,9053,"Initial Licence Date: 2017-09-28,Approx Monthly Start Rate: $2200 to $2799,Single rooms,Double rooms"
54,http://personalcarehomes.saskatchewan.ca/Facility/Details/69385087-c6a0-4494-b94f-cb307a6ccd57,Elizabeth and Tito Clemente,Clemente PCH,5,514 Silverwood Rd,Saskatoon SK S7K 6R4,514 Silverwood Rd Saskatoon SK S7K 6R4,(306) 974-2195,Saskatoon,9061,"Initial Licence Date: 2018-04-18,Approx Start Rate per Month: $1800 to $2199,Can only admit and care for residents who can climb and descend steps independently,Cannot admit or care for residents who are at risk of wandering,Single Rooms"
55,http://personalcarehomes.saskatchewan.ca/Facility/Details/c44c889d-5bf0-423e-be7b-38c2ecc9396a,National Care Services Limited,College Park I,10,1535 Anson Road,Regina SK S4P 0C2,1535 Anson Road Regina SK S4P 0C2,(306) 565-0515,Regina,9096,"Initial Licence Date: 2018-01-08,Cannot admit or care for residents who are at risk of wandering,Single rooms"
56,http://personalcarehomes.saskatchewan.ca/Facility/Details/7392287b-c1b2-4f92-85cd-d090b53ee419,College Park GP Inc.,College Park II Retirement Residence,58,"2nd Floor, 1601 Badham Blvd",Regina SK S4P 0L9,"2nd Floor, 1601 Badham Blvd Regina SK S4P 0L9",(306) 924-0515,Regina,8457,"Initial Licence Date: 2014-08-13,Approx. Start Rate per Month: $4000 and up,Single rooms,Double rooms"
57,http://personalcarehomes.saskatchewan.ca/Facility/Details/ade0404b-9d25-4bba-81a1-e707559e084f,Cornerstone Care Home Inc.,Cornerstone Care Home Incorporated,10,219 2 St N,Wakaw SK S0K 4P0,219 2 St N Wakaw SK S0K 4P0,(306) 233-7466,Wakaw,9133,"Initial Licence Date: March 12,2021,Approx. Start Rate per Month: $2200 to $2799,Single and Double Rooms Available."
58,http://personalcarehomes.saskatchewan.ca/Facility/Details/030e17bd-f2ac-4cdc-8afa-4792a027b89d,Coteau Range Manor Inc.,Coteau Range Manor Inc.,30,210 New Warren Road,Avonlea SK S4R 1T7,210 New Warren Road Avonlea SK S4R 1T7,(306) 868-2033,Avonlea,7891,"Initial Licence Date: 2003-11-01,Approx. Start Rate per Month: $2800 to $3499,Single rooms"
59,http://personalcarehomes.saskatchewan.ca/Facility/Details/02b68833-77bb-45bc-acc5-4261f5ea992c,Reynaldo & Maria Dimaano,Country Lane Care Home,10,108 8 St,Pilot Butte SK S0G 3Z0,108 8 St Pilot Butte SK S0G 3Z0,(306) 586-2273,Pilot Butte,8409,"Initial Licence Date: 2012-01-09,Approx. Start Rate per Month: $2200 to $2799,Single rooms"
60,http://personalcarehomes.saskatchewan.ca/Facility/Details/211c6aab-93f6-482f-a650-e17c18b65f93,Angelita Ibon,Courtesy Care Home,10,2928 Wascana St,Regina SK S4S 2G8,2928 Wascana St Regina SK S4S 2G8,(306) 586-9888,Regina,8077,"Initial Licence Date: 2005-04-01,Approx. Start Rate per Month: $1800 to $2199,Residents on the lower floor must be able to climb and descend stairs independently,Single rooms"
61,http://personalcarehomes.saskatchewan.ca/Facility/Details/b12418ae-d2d0-492c-bee1-62d3130684d8,Crescent Park Retirement Villa Ltd.,Crescent Park Retirement Villa Ltd.,65,134 Athabasca St E,Moose Jaw SK S6H 0L4,134 Athabasca St E Moose Jaw SK S6H 0L4,(306) 692-0601,Moose Jaw,8131,"Initial Licence Date: 2005-12-20,Approx. Start Rate per Month: $1800 to $2199,Single rooms,Double rooms"
62,http://personalcarehomes.saskatchewan.ca/Facility/Details/44fdd408-27b3-46fa-95b9-c453bdd9adb4,Crystal Flowers,Crystal Flowers,15,855/857 Coppermine Crescent,Saskatoon SK S7K 4K9,855/857 Coppermine Crescent Saskatoon SK S7K 4K9,(306) 382-4833,Saskatoon,9039,"Initial Licence Date: 2016-11-25,Approx. Start Rate per Month: $2200 to $2799,Can Only Admit residents to lower level who are capable of climbing and descending stairs independently,Cannot admit Residents at risk of wandering"
63,http://personalcarehomes.saskatchewan.ca/Facility/Details/c2ad1e0f-52db-4aa1-85be-d31696190381,Cypress House Ltd,Cypress House Ltd.,80,2135 Scott St,Swift Current SK S9H 5R5,2135 Scott St Swift Current SK S9H 5R5,(306) 778-3500,Swift Current,8465,"Initial Licence Date: 2014-11-18,Approx. Start Rate per Month: $2800 to $3499,Single rooms,Double rooms"
64,http://personalcarehomes.saskatchewan.ca/Facility/Details/e17a8594-00c3-4959-a761-d26403d93cc6,Creekside Seniors Living Inc,Cypress Lodge,48,510 Highway 21 South,Maple Creek SK S0N 1N0,510 Highway 21 South Maple Creek SK S0N 1N0,(306) 662-2090,Maple Creek,9027,"Initial Licence Date: 2017-02-24,Approx. Start Rate per Month: $2200 to $2799,Single rooms"
