no,facility name,bed,city,authority,phone,post,postal code,email,address check,authority url,website,type,source,operator
11,Menno Home,196,Abbotsford,Fraser Health,(604) 853 -2411,"32910 BRUNDIGE AVEABBOTSFORD BC V2S 1N2",V2S 1N2,info@mennoplace.ca,done,https://www.seniorsadvocatebc.ca/quickfacts/location/70973/,https://www.mennoplace.ca/menno-home/,Long-Term,Seniors Advocate,
12,Menno Hospital,151,Abbotsford,Fraser Health,(604) 859-7631,"32945 MARSHALL RDABBOTSFORD BC V2S 1K1",V2S 1K1,info@mennoplace.ca,done,https://www.seniorsadvocatebc.ca/quickfacts/location/82741/,https://www.mennoplace.ca/menno-hospital/,Long-Term,Seniors Advocate,
13,Bevan Village,35,Abbotsford,Fraser Health,(604) 850-5416,"33386 BEVAN AVEABBOTSFORD BC V2S 5G6",V2S 5G6,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1034,https://trilliumcommunities.com/location/bevan-village/,Assited Living,Ministry of Health,0869632 BC LTD 
14,The Mayfair,84,Abbotsford,Fraser Health,(604) 855-7217,"33433 MARSHALL RDABBOTSFORD BC V2S 1K8",V2S 1K8,themayfair@tcgcare.com,done,https://www.seniorsadvocatebc.ca/quickfacts/location/30470/,https://www.tcgcare.com/mayfair,Long-Term,Seniors Advocate,
15,Cottage and Worthington Pavilions - MSA Hospital,109,Abbotsford,Fraser Health,(604) 870-7999,"33457 COTTAGE LANEABBOTSFORD BC V2S 0B3",V2S 0B3,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/82730/,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/A/B/cottage-worthington-pavilion#.XuKtkflKiUk,Long-Term,Seniors Advocate,
16,Valhaven Rest Home,26,Abbotsford,Fraser Health,(604) 856-2812,"4212 BALMORAL ST
ABBOTSFORD BC V4X 1Y5",V4X 1Y5,info.valhaven@taborvillage.org,done,https://www.seniorsadvocatebc.ca/quickfacts/location/70995/,https://www.taborvillage.org/who-we-are/contact-us/,Long-Term,Seniors Advocate,
17,Glenwood Seniors Community,32,Agassiz,Fraser Health,(604) 796-9202,"1458 GLENWOOD DR
AGASSIZ BC V0M 1A3",V0M 1A2,smaclennan@parkplaceseniorsliving.com,done,https://connect.health.gov.bc.ca//assisted-living-residence/1345,http://www.parkplaceseniorsliving.com,Assited Living,Ministry of Health,Glenwood Seniors Community Partnership 
18,Agassiz Seniors Community,68,Agassiz,Fraser Health,(604) 796-3886,"1525 MACKAY CRES
AGASSIZ BC V0M 1A3",V0M 1A2,cyoung@ppsl.com,done,https://www.seniorsadvocatebc.ca/quickfacts/location/26680/,https://www.parkplaceseniorsliving.com/contact-us/,Long-Term,Seniors Advocate,
19,Jackman Manor,88,Aldergrove,Fraser Health,(604) 856-4161,"27477 28TH AVEALDERGROVE BC V4W 3L9",V4W 3L9,info@jackmanmanor.com,done,https://www.seniorsadvocatebc.ca/quickfacts/location/85553/,http://www.jackmanmanor.com/,Long-Term,Seniors Advocate,
20,Cormorant Island Health Centre,10,Alert Bay,Vancouver Island Health,(250) 974-5585,"49 SCHOOL RDALERT BAY BC V0N 1A0",V0N 1A0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/82853/,https://www.islandhealth.ca/our-locations/long-term-care-locations/cormorant-island-health-centre-long-term-care,Long-Term,Seniors Advocate,
21,Pioneer Square,20,Armstrong,Interior Health,(250) 546-3396,"2865 WILLOWDALE DRARMSTRONG BC V0E 1B1",V0E 1B1,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1098,http://www.kaigo.ca,Assited Living,Ministry of Health,Kaigo Retirement Communities Ltd. 
22,Pleasant Valley Manor,82,Armstrong,Interior Health,(250) 546-4707,"3800 PATTEN DRARMSTRONG BC V0E 1B2",V0E 1B2,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/95925/,https://www.interiorhealth.ca/locations/pleasant-valley-manor,Long-Term,Seniors Advocate,
23,Jackson House - Ashcroft Hospital and Health Centre,22,Ashcroft,Interior Health,(250) 453-1913,"700 ASH-CACHE CREEK HWYASHCROFT BC V0K 1A0",V0K 1A0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/70210/,https://www.interiorhealth.ca/locations/jackson-house,Long-Term,Seniors Advocate,
24,Thompson View Lodge,10,Ashcroft,Interior Health,(250) 453-9223,"710 ELM STASHCROFT BC V0K 1A0",V0K 1A0,tvms@telus.net,done,https://connect.health.gov.bc.ca//assisted-living-residence/1118,,Assited Living,Ministry of Health,Thompson View Manor Society 
25,Yellowhead Pioneer Residence,10,Barriere,Interior Health,(250) 672-0019,"BOX 212, 4557 BARRIERE TOWN RD
BARRIERE BC V0E 1E0",V0E 1E0,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1124,https://www.interiorhealth.ca/locations/yellowhead-pioneer-residence,Assited Living,Ministry of Health,Yellowhead Pioneer Residence Society 
26,Long-Term Care at R. W. Large Memorial Hospital,7,Bella Bella,Vancouver Coastal Health,(250) 957-2314,"88 WAGLISLA STBELLA BELLA BC V0T 1Z0",V0T 1Z0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/82943/,http://www.vch.ca/locations-services/result?res_id=141,Long-Term,Seniors Advocate,
27,Long-Term Care at Bella Coola General Hospital,5,Bella Coola,Vancouver Coastal Health,(250) 799-5311,"1025 ELCHO STBELLA COOLA BC V0T 1C0",V0T 1C0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/83472/,http://www.vch.ca/locations-services/result?res_id=140,Long-Term,Seniors Advocate,
28,Brentwood House,17,Brentwood Bay,Vancouver Island Health,(250) 652-0634,"1167 STELLY'S CROSS RDBRENTWOOD BAY BC V8M 1H4",V8M 1H4,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/24980/,https://www.beaconcs.ca/services-programs/respite-care/dementia-care-homes/,Long-Term,Seniors Advocate,
29,Sluggett House,16,Brentwood Bay,Vancouver Island Health,(250) 544-0925,"1336 MARCHANT RDBRENTWOOD BAY BC V8M 1G5",V8M 1G5,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/26870/,https://www.beaconcs.ca/services-programs/respite-care/dementia-care-homes/,Long-Term,Seniors Advocate,
30,Rideau Retirement Residence,86,Burnaby,Fraser Health,(604) 291-1792,"1850 ROSSER AVEBURNABY BC V5C 5E1",V5C 5E1,reception@rideauresidence.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/2595,https://rideauresidence.ca/contact/,Assited Living,Ministry of Health,Chalmers Foundation 
31,Cascade Gardens Seniors Community,60,Burnaby,Fraser Health,(604) 434-2666,"3460 KALYK AVEBURNABY BC V5G 3B2",V5G 3B2,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/76845/,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/B/6/cascade-gardens-seniors-community#.YZLtvPnMKUk,Long-Term,Seniors Advocate,
32,Courtyard Terrace,47,Burnaby,Fraser Health,(604) 437-6262,"3730 BURKE STBURNABY BC V5G 4H7",V5G 4H7,courtyardterrace@ppsl.com,done,https://connect.health.gov.bc.ca//assisted-living-residence/1053,http://www.parkplaceseniorsliving.com,Assited Living,Ministry of Health,Courtyard Terrace Assisted Living Residence Partnership 
33,Seton Villa,28,Burnaby,Fraser Health,(604) 291-0607,"3755 MCGILL STBURNABY BC V5C 1M2",V5C 1M2,info@setonvilla.com,done,https://connect.health.gov.bc.ca//assisted-living-residence/1104,http://www.setonvilla.com,Assited Living,Ministry of Health,Action Line Housing Society 
34,Chartwell Carlton Retirement Residence,128,Burnaby,Fraser Health,(604) 419-3000,"4110 NORFOLK ST
BURNABY BC V5G 0C1",V5G 0B4,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/78285/,https://www.chartwell.com/en/retirement-residences/chartwell-carlton-retirement-residence/overview,Long-Term,Seniors Advocate,
35,Dania Manor,50,Burnaby,Fraser Health,(604) 299-1379,"4155 NORLAND AVEBURNABY BC V5G 3S7",V5G 3S7,info@dania.bc.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/1056,http://www.dania.bc.ca,Assited Living,Ministry of Health,Dania Society 
36,Dania Home,102,Burnaby,Fraser Health,(604) 299-2414,"4175 NORLAND AVEBURNABY BC V5G 3S7",V5G 3S7,info@dania.bc.ca,done,https://www.seniorsadvocatebc.ca/quickfacts/location/76834/,http://www.dania.bc.ca/residential-care/,Long-Term,Seniors Advocate,
37,Willingdon Care Centre,95,Burnaby,Fraser Health,(604) 433-2455,"4435 GRANGE STBURNABY BC V5H 1P4",V5H 1P4,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/90997/,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/9/1/willingdon-care-centre#.XuKuvflKiUk,Long-Term,Seniors Advocate,
38,Fellburn Care Centre,70,Burnaby,Fraser Health,(604) 412-6503,"6050 HASTINGS STBURNABY BC V5B 1R6",V5B 1R6,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/82145/,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/6/4/fellburn-care-centre#.XuKvHflKiUk,Long-Term,Seniors Advocate,
39,Nikkei Home,59,Burnaby,Fraser Health,(604) 777-5000,"6680 SOUTHOAKS CRESBURNABY BC V5E 4N3",V5E 4N3,srhousing@nikkeiplace.org,done,https://connect.health.gov.bc.ca//assisted-living-residence/1094,http://www.nikkeiplace.org,Assited Living,Ministry of Health,Nikkei Seniors Health Care and Housing Society 
40,Harmony Court Care Centre,80,Burnaby,Fraser Health,(604) 527-3300,"7195 CANADA WAYBURNABY BC V5E 3R7",V5E 3R7,harmonycourt@agecare.ca,done,https://www.seniorsadvocatebc.ca/quickfacts/location/12654/,http://www.agecare.ca/community/agecare-harmony-court/care/,Long-Term,Seniors Advocate,
41,Swedish Assisted Living Residence,56,Burnaby,Fraser Health,(604) 420-1124,"7230 HALIFAX STBURNABY BC V5A 0B2",V5A 0B2,info@swedishcanadian.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/1195,http://swedishcanadian.ca,Assited Living,Ministry of Health,Swedish Canadian Rest Home Association 
42,New Vista Care Home,240,Burnaby,Fraser Health,(604) 521-7764,"7232 NEW VISTA PLBURNABY BC V5E 3Z3",V5E 3Z3,info@newvista.bc.ca,done,https://www.seniorsadvocatebc.ca/quickfacts/location/76867/,https://newvista.bc.ca/,Long-Term,Seniors Advocate,
43,St. Michael's Centre,144,Burnaby,Fraser Health,(604)-434-1323,"7451 SUSSEX AVEBURNABY BC V5J 5C2",V5J 5C2,info@stmichaels.bc.ca,done,https://www.seniorsadvocatebc.ca/quickfacts/location/83911/,https://www.stmichaels.bc.ca/,Long-Term,Seniors Advocate,
44,George Derby Centre,300,Burnaby,Fraser Health,(604) 521-2676,"7550 CUMBERLAND STBURNABY BC V3N 3X5",V3N 3X5,info@georgederby.ca,done,https://www.seniorsadvocatebc.ca/quickfacts/location/92999/,http://www.georgederby.ca/,Long-Term,Seniors Advocate,
45,Fair Haven - Burnaby,100,Burnaby,Fraser Health,(604) 435-0525,"7557 SUSSEX AVEBURNABY BC V5J 3V6",V5J 3V6,info@fairhaven.bc.ca,done,https://www.seniorsadvocatebc.ca/quickfacts/location/76889/,http://www.fairhaven.bc.ca/long-term-care-2/,Long-Term,Seniors Advocate,
46,Normanna Rest Home,100,Burnaby,Fraser Health,(604) 522-5812,"7725 4TH STBURNABY BC V3N 5B6",V3N 5B6,info@normanna.ca,done,https://www.seniorsadvocatebc.ca/quickfacts/location/97769/,http://www.normanna.ca/,Long-Term,Seniors Advocate,
47,Liberty Place,20,Burnaby,Fraser Health,(604) 526-9933,"7899 17TH AVEBURNABY BC V3N 1M1",V3N 1M1,almanager@stiveliving.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/1146,http://striveliving.ca,Assited Living,Ministry of Health,Strive Living Society 
48,Tweedsmuir House,17,Burns Lake,Northern Health,(250) 692-3781,"53 9TH AVEBURNS LAKE BC V0J 1E0",V0J 1E0,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1120,https://www.northernhealth.ca/find-a-facility/assisted-living/tweedsmuir-house,Assited Living,Ministry of Health,Lakes District Senior Citizens Housing Association 
49,The Pines,36,Burns Lake,Northern Health,(250) 692-2490,"Box 7500, 800 CENTRE ST
BURNS LAKE BC V0J 1E0",V0J 1E0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/97343/,https://www.northernhealth.ca/locations/long-term-care/pines,Long-Term,Seniors Advocate,
50,Ironwood Place,54,Campbell River,Vancouver Island Health,(250) 287-4486,"1351 IRONWOOD STCAMPBELL RIVER BC V9W 5Z7",V9W 5Z7,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1073,http://www.viha.ca/hcc/assisted/locations/ironwood_place.htm,Assited Living,Ministry of Health,Campbell River and District Association for Community Living 
51,Berwick By The Sea,30,Campbell River,Vancouver Island Health,(250) 850-1353,"1353 16TH AVECAMPBELL RIVER BC V9W 0C4",V9W 0C4,mail@berwickrc.com,done,https://connect.health.gov.bc.ca//assisted-living-residence/1281,https://www.berwickretirement.com/bcr/,Assited Living,Ministry of Health,Berwick Retirement Campbell River Ltd. 
52,Yucalta Lodge,99,Campbell River,Vancouver Island Health,(250) 850-2900,"555 2ND AVECAMPBELL RIVER BC V9W 3V1",V9W 3V1,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/77992/,https://www.islandhealth.ca/our-locations/long-term-care-locations/yucalta-lodge,Long-Term,Seniors Advocate,
53,Evergreen Seniors Home,65,Campbell River,Vancouver Island Health,(250) 286-7274,"635 EVERGREEN RDCAMPBELL RIVER BC V9W 3R7",V9W 3R7,weareateam@evergreenseniors.com,done,https://www.seniorsadvocatebc.ca/quickfacts/location/23740/,http://www.evergreenseniors.com/,Long-Term,Seniors Advocate,
54,Discovery Harbour Seniors Community,142,Campbell River,Vancouver Island Health,(250) 287-7166,"850 14TH AVECAMPBELL RIVER BC V9W 4H4",V9W 4H4,lchristie@ppsl.com,done,https://www.seniorsadvocatebc.ca/quickfacts/location/26070/,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/vancouver-island/discovery-harbour/,Long-Term,Seniors Advocate,
55,Castleview Care Centre,61,Castlegar,Interior Health,(250) 365-7277,"2300 14TH AVECASTLEGAR BC V1N 4A6",V1N 4A6,castleview@chantellegroup.com,done,https://www.seniorsadvocatebc.ca/quickfacts/location/96027/,https://www.chantellegroup.com/castleview.htm,Long-Term,Seniors Advocate,
56,Castle Wood Village,50,Castlegar,Interior Health,(250) 365-6686,"525 COLUMBIA AVE
CASTLEGAR BC V1N 1G7",V1N 1G7,inquiry@glm.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/1039,http://goldenlifemanagement.ca/index.php/villages/castlewood-village/overview,Assited Living,Ministry of Health,Golden Life Management Corp. 
57,Talarico Place - Castlegar District Community Health Centre,60,Castlegar,Interior Health,(250) 365-7221,"709 10TH STCASTLEGAR BC V1N 2H7",V1N 2H7,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/96274/,https://www.interiorhealth.ca/locations/talarico-place,Long-Term,Seniors Advocate,
58,Serenity Acres,3,Chase,Interior Health,(250) 679-3530,"6188 VLA RDCHASE BC V0E 1M1",V0E 1M1,serenityacres@hotmail.ca,done,https://connect.health.gov.bc.ca//assisted-living-residence/1288,https://www.facebook.com/serenityacres.seniorlodging/,Assited Living,Ministry of Health,Dora MacQuarrie 
59,Parkside Community (1041090 BC Ltd),47,Chase,Interior Health,(250) 679-4477,"743 OKANAGAN AVECHASE BC V0E 1M0",V0E 1M0,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1354,http://parksidecommunity.ca,Assited Living,Ministry of Health,1041090 BC Ltd. (dba Parkside Community) 
60,Chemainus Health Care Centre,75,Chemainus,Vancouver Island Health,(250) 737-2040,"P.O. 499, 9909 ESPLANADE ST
CHEMAINUS BC V0R 1K1",V0R 1K1,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/94126/,https://www.islandhealth.ca/our-locations/long-term-care-locations/chemainus-health-care-centre-long-term-care,Long-Term,Seniors Advocate,
61,The Steeples,16,Chemainus,Vancouver Island Health,(250) 246-1805,"9910 ESPLANADE STCHEMAINUS BC V0R 1K1",V0R 1K1,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1117,https://www.islandhealth.ca/our-locations/assisted-living-locations/steeples-assisted-living,Assited Living,Ministry of Health,Steeples Housing Society 
62,Surerus Place,5,Chetwynd,Northern Health,(250) 788-3736,"5353 47TH AVECHETWYND BC V0C 1J0",V0C 1J0,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1177,http://www.chetwyndseniorshousing.ca,Assited Living,Ministry of Health,Chetwynd Senior Citizens Housing 
63,Long-tern Care at Chetwynd Hospital and Health Centre,7,Chetwynd,Northern Health,(250) 788-2236,"5500 HOSPITAL RDCHETWYND BC V0C 1J0",V0C 1J0,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/17053/,https://www.northernhealth.ca/locations/long-term-care/chetwynd-hospital-and-health-centre,Long-Term,Seniors Advocate,
64,Valleyhaven,101,Chilliwack,Fraser Health,(604) 792-0037,"45450 MENHOLM RDCHILLIWACK BC V2P 1M2",V2P 1M2,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/71008/,https://www.kaigo.ca/valleyhaven,Long-Term,Seniors Advocate,
65,The Cascades,48,Chilliwack,Fraser Health,(604) 795-2500,"45586 MCINTOSH DRCHILLIWACK BC V2P 7W8",V2P 7W8,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1038,https://www.siennaliving.ca/long-term-care/british-columbia/the-cascades-care-community,Assited Living,Ministry of Health,Sienna-Baltic (Cascades) Inc. 
66,Bradley Center,90,Chilliwack,Fraser Health,(604) 795-4102,"45600 MENHOLM RDCHILLIWACK BC V2P 1P7",V2P 1P7,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/82796/,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/C/7/bradley-centre#.XuKvp_lKiUk,Long-Term,Seniors Advocate,
67,Chartwell Birchwood,35,Chilliwack,Fraser Health,(604) 792-8793,"45650 PATTEN AVECHILLIWACK BC V2P 1S4",V2P 1S4,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1190,http://www.chartwell.com,Assited Living,Ministry of Health,Chartwell Master Care LP 
68,Sto:lo Elders Lodge,15,Chilliwack,Fraser Health,(604) 858-5414,"7519 TOPAZ DRCHILLIWACK BC V2R 0E8",V2R 0E8,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1128,http://www.stolonation.bc.ca/services-and-programs/elders-lodge/elders-lodge.htm,Assited Living,Ministry of Health,The Sto:lo Nation 
69,Heritage Village,100,Chilliwack,Fraser Health,(604) 858-1833,"7525 TOPAZ DRCHILLIWACK BC V2R 3C9",V2R 3C9,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/98232/,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/1/5/heritage-village#.XuKw8_lKiUk,Long-Term,Seniors Advocate,
70,Waverly Seniors Village,50,Chilliwack,Fraser Health,(604) 792-6340,"8445 YOUNG RDCHILLIWACK BC V2P 4P2",V2P 4P2,waverly.info@retirementconcepts.com,done,https://connect.health.gov.bc.ca//assisted-living-residence/1328,http://www.retirementconcepts.com/locations/waverly-seniors-village/,Assited Living,Ministry of Health,Waverly Seniors Village 3 LLP 
71,Eden Care Centre,89,Chilliwack,Fraser Health,(604) 792-8166,"9100 CHARLES STCHILLIWACK BC V2P 5K6",V2P 5K6,edencare@telus.net,done,https://www.seniorsadvocatebc.ca/quickfacts/location/84495/,https://www.fraserhealth.ca/Service-Directory/Service-At-Location/F/3/eden-care-centre#.XuKxHvlKiUk,Long-Term,Seniors Advocate,
72,Sunset Manor,15,Chilliwack,Fraser Health,(604) 702-0457,"UNIT 2 8920 BROADWAY STCHILLIWACK BC V2P 5W1",V2P 5W1,,done,https://connect.health.gov.bc.ca//assisted-living-residence/1266,http://www.sunsetmanor.ca,Assited Living,Ministry of Health,Netherlands Reformed Congregation of Chilliwack 
73,Forest View Place,21,Clearwater,Interior Health,(250) 674-2244,"640 PARK DRCLEARWATER BC V0E 1N1",V0E 1N1,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/19720/,https://www.interiorhealth.ca/locations/forest-view-place,Long-Term,Seniors Advocate,
74,Berwick Comox Valley,35,Comox,Vancouver Island Health,(250) 339-1690,"1700 COMOX AVECOMOX BC V9M 4H4",V9M 4H4,mail@berwickrc.com,done,https://connect.health.gov.bc.ca//assisted-living-residence/1198,https://www.berwickretirement.com/bcv/,Assited Living,Ministry of Health,Berwick Retirement Comox Ltd. 
75,The Views at St. Joseph's,160,Comox,Vancouver Island Health,(778) 431-0280,"2137 COMOX AVECOMOX BC V9M 1P2",V9M 1P2,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/82673/,https://www.cvviews.com/,Long-Term,Seniors Advocate,
76,Foyer Maillard,125,Coquitlam,Fraser Health,(604) 937-5578,"1010 ALDERSON AVECOQUITLAM BC V3K 1W1",V3K 1W1,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/73189/,https://www.foyermaillard.ca/,Long-Term,Seniors Advocate,
77,Dufferin Care Centre,153,Coquitlam,Fraser Health,(604) 552-1166,"1131 DUFFERIN STCOQUITLAM BC V3B 7X5",V3B 7X5,duff.info@retirementconcepts.com,done,https://www.seniorsadvocatebc.ca/quickfacts/location/11844/,https://www.retirementconcepts.com/locations/dufferin-care-centre/,Long-Term,Seniors Advocate,
78,The Madison Care Centre,137,Coquitlam,Fraser Health,(604) 936-9231,"1399 FOSTER AVECOQUITLAM BC V3J 2N1",V3J 2N1,themadison@tcgcare.com,done,https://www.seniorsadvocatebc.ca/quickfacts/location/26370/,https://tcgcare.com/madison,Long-Term,Seniors Advocate,
79,Cartier House Seniors Community,78,Coquitlam,Fraser Health,(604) 939-4654,"1419 CARTIER AVECOQUITLAM BC V3K 2C6",V3K 2C6,creyes@ppsl.com,done,https://www.seniorsadvocatebc.ca/quickfacts/location/73099/,https://www.parkplaceseniorsliving.com/find-a-location/british-columbia/lower-mainland/cartier-house/,Long-Term,Seniors Advocate,
80,Lakeshore Care Centre,56,Coquitlam,Fraser Health,(604) 939-9277,"657 GATENSBURY STCOQUITLAM BC V3J 5C9",V3J 5C9,lakeshore@tcgcare.com,done,https://www.seniorsadvocatebc.ca/quickfacts/location/73156/,http://www.tcgcare.com/lakeshore,Long-Term,Seniors Advocate,
81,Belvedere Care Centre,158,Coquitlam,Fraser Health,(604) 939-5991,"739 ALDERSON AVECOQUITLAM BC V3K 7B3",V3K 7B3,belvederecare@telus.net,done,https://www.seniorsadvocatebc.ca/quickfacts/location/94586/,https://www.belvederebc.com/belvedere-care-centre,Long-Term,Seniors Advocate,
82,Residences at Belvedere,80,Coquitlam,Fraser Health,(604) 939-1930,"750 DELESTRE AVECOQUITLAM BC V3K 0A1",V3K 0A1,residences@telus.net,done,https://connect.health.gov.bc.ca//assisted-living-residence/1099,https://www.belvederebc.com/contact,Assited Living,Ministry of Health,Belvedere Care Centre Inc. 
83,Glacier View Lodge,102,Courtenay,Vancouver Island Health,(250) 338-1451,"2450 BACK RDCOURTENAY BC V9N 8B5",V9N 8B5,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/74405/,https://www.glacierviewlodge.ca/,Long-Term,Seniors Advocate,
84,Comox Valley Seniors Village,83,Courtenay,Vancouver Island Health,(250) 331-1183,"4640 HEADQUARTERS RDCOURTENAY BC V9N 7J3",V9N 7J3,comox.info@retirementconcepts.com,done,https://connect.health.gov.bc.ca//assisted-living-residence/1319,http://www.retirementconcepts.com/locations/comox-valley-seniors-village/,Assited Living,Ministry of Health,Courtenay Seniors Village 3 LLP 
85,Casa Loma Seniors Village,66,Courtenay,Vancouver Island Health,(250) 897-1033,"4646 HEADQUARTERS RDCOURTENAY BC V9N 7J3",V9N 7J3,casa.info@retirementconcepts.com,done,https://connect.health.gov.bc.ca//assisted-living-residence/1318,http://www.retirementconcepts.com/locations/casa-loma/,Assited Living,Ministry of Health,Casa Loma Seniors Village 3 LLP 
86,Dr. F. W. Green Memorial Home,58,Cranbrook,Interior Health,(250) 426-3710,"1700 4TH ST SCRANBROOK BC V1C 6E1",V1C 6E1,,done,https://www.seniorsadvocatebc.ca/quickfacts/location/70030/,https://www.interiorhealth.ca/locations/dr-f-w-green-memorial-home,Long-Term,Seniors Advocate,
